epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,749.188,1.80634,0.87304,0.00116,0.90297,0.53792,0.60043,0.28881,1.92762,0.86165,0.00194,0.000424556,0.000424556,0.000424556
73,760.717,1.82085,0.89285,0.00119,0.76712,0.55469,0.58692,0.29659,1.90504,0.85705,0.00191,0.000410409,0.000410409,0.000410409
74,773.171,1.76096,0.87077,0.00126,0.72555,0.55847,0.60738,0.30578,1.93615,0.88037,0.00194,0.000396262,0.000396262,0.000396262
75,785.558,1.79303,0.86622,0.00121,0.68413,0.51867,0.55314,0.28346,1.89872,0.88763,0.00192,0.000382115,0.000382115,0.000382115
76,797.824,1.77535,0.86374,0.00117,0.76366,0.52318,0.57077,0.29013,1.90665,0.8924,0.00193,0.000367967,0.000367967,0.000367967
77,808.84,1.74525,0.84036,0.00119,0.83149,0.55927,0.59822,0.2919,1.93493,0.87557,0.00192,0.00035382,0.00035382,0.00035382
78,817.331,1.77963,0.84265,0.00122,0.86634,0.55596,0.59034,0.29886,1.90964,0.88454,0.00189,0.000339673,0.000339673,0.000339673
79,827.976,1.74402,0.82329,0.00114,0.90134,0.5505,0.60186,0.29323,1.9105,0.85733,0.00192,0.000325526,0.000325526,0.000325526
80,839.629,1.77628,0.8478,0.00115,0.90795,0.5488,0.58988,0.30013,1.92594,0.85,0.00191,0.000311379,0.000311379,0.000311379
81,851.678,1.72244,0.83127,0.00115,0.92044,0.55681,0.60832,0.29805,1.93647,0.87093,0.00194,0.000297232,0.000297232,0.000297232
82,863.727,1.71943,0.80882,0.00116,0.91052,0.53237,0.60822,0.30205,1.90249,0.87035,0.00187,0.000283085,0.000283085,0.000283085
83,875.754,1.76015,0.83955,0.00118,0.74533,0.60965,0.61852,0.30014,1.9025,0.8589,0.00188,0.000268938,0.000268938,0.000268938
84,887.924,1.72584,0.83959,0.00115,0.76729,0.58312,0.61864,0.29336,1.94757,0.87058,0.00194,0.000254791,0.000254791,0.000254791
85,900.082,1.69268,0.78798,0.0011,0.90295,0.53947,0.61292,0.31132,1.91082,0.8541,0.00188,0.000240644,0.000240644,0.000240644
86,912.06,1.72193,0.80711,0.00113,0.87275,0.53369,0.60836,0.31255,1.9083,0.83987,0.00186,0.000226497,0.000226497,0.000226497
87,924.764,1.72642,0.80415,0.00112,0.89504,0.53712,0.63039,0.30934,1.94529,0.84535,0.00191,0.000212349,0.000212349,0.000212349
88,947.711,1.69992,0.79318,0.00115,0.76512,0.59018,0.62522,0.30667,1.94492,0.86293,0.00194,0.000198202,0.000198202,0.000198202
89,959.955,1.71063,0.79426,0.00113,0.88494,0.55426,0.61503,0.30595,1.94083,0.83362,0.00192,0.000184055,0.000184055,0.000184055
90,972.332,1.67077,0.81377,0.00109,0.87697,0.6005,0.63436,0.31109,1.90271,0.84134,0.0019,0.000169908,0.000169908,0.000169908
91,982.125,1.66181,0.8025,0.00119,0.86214,0.49624,0.58045,0.29243,1.92086,0.90631,0.00191,0.000155761,0.000155761,0.000155761
92,990.671,1.72103,0.79446,0.00118,0.80368,0.50259,0.56805,0.28457,1.91993,0.89185,0.00191,0.000141614,0.000141614,0.000141614
93,999.082,1.70591,0.79647,0.00118,0.91761,0.55013,0.59785,0.30471,1.9088,0.90222,0.00192,0.000127467,0.000127467,0.000127467
94,1007.43,1.67159,0.79244,0.00117,0.8958,0.55308,0.60372,0.30006,1.91807,0.89836,0.00191,0.00011332,0.00011332,0.00011332
95,1016.04,1.64262,0.7789,0.00111,0.89829,0.52995,0.59981,0.3019,1.91225,0.87608,0.00189,9.91726e-05,9.91726e-05,9.91726e-05
96,1027.68,1.67029,0.74642,0.00118,0.89908,0.53132,0.60515,0.30985,1.90076,0.87147,0.0019,8.50255e-05,8.50255e-05,8.50255e-05
97,1040.02,1.65829,0.7422,0.00115,0.78796,0.55998,0.60637,0.30779,1.90793,0.87652,0.00188,7.08784e-05,7.08784e-05,7.08784e-05
98,1054.55,1.62616,0.74011,0.00113,0.78485,0.55636,0.60658,0.30273,1.91126,0.87566,0.00189,5.67313e-05,5.67313e-05,5.67313e-05
99,1067.86,1.58802,0.72738,0.00113,0.76167,0.55677,0.59972,0.30886,1.89312,0.88034,0.00187,4.25842e-05,4.25842e-05,4.25842e-05
100,1076.52,1.66309,0.74422,0.00114,0.77761,0.55507,0.59949,0.30618,1.89034,0.86883,0.00187,2.84371e-05,2.84371e-05,2.84371e-05
